"MAKE","MODEL","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"Escorts","Atom 26 4WD","482832","410407","357054","324919","295677","277936","261260","245584","230849","216998","203978","191740","180235","169421","159256","111479","104790","98503","92593","87037"
"Eicher ","EIC 5150","531050","467324","411245","370121","340511","320080","300875","282823","265854","249902","234908","220814","207565","195111","183404","128383","120680","113439","106633","100235"
"John Deere","JD 5405 4WD ","965345","830196","722271","650044","585039","549937","516941","485924","456769","429363","403601","379385","356622","335225","315111","220578","207343","194902","183208","172216"
"Solis ","SOLIS- 4515 ","594627","505433","439727","400151","364138","342289","321752","302447","284300","267242","251208","236135","221967","208649","196130","137291","129054","121310","114032","107190"
"MM","MM 445 ARJUN ","418000","355300","309111","281291","255975","240616","226179","212609","199852","187861","176589","165994","156034","146672","137872","96510","90720","85277","80160","75350"
"SOLIS ","SOLIS 4215 2WD","594382","505225","439546","399987","363988","342149","321620","302322","284183","267132","251104","236038","221876","208563","196049","137235","129000","121260","113985","107146"
"SOLIS ","SOLIS 4215 4WD","649906","552420","480605","437351","397989","374110","351663","330563","310730","292086","274561","258087","242602","228046","214363","150054","141051","132588","124633","117155"
"SOLIS ","SOLIS  4215 EP","596295","506851","440960","401274","365159","343250","322655","303295","285098","267992","251912","236798","222590","209234","196680","137676","129416","121651","114352","107491"
"New Holland","NH5620","860177","731150","636101","578851","526755","495150","465441","437514","411263","386588","363392","341589","321093","301828","283718","198603","186687","175485","164956","155059"
"Swaraj","SWARAJ 744 FE","764169","687752","625855","575786","535481","503352","473151","444762","418076","392992","369412","347248","326413","306828","288418","201893","189779","178392","167689","157628"
"MM","275 Yuvo","691632","622469","566447","521131","484652","455573","428238","402544","378392","355688","334347","314286","295429","277703","261041","245378","230656","216816","203807","191579"
"New Holland","NH 3600-2 4WD","909361","782050","680384","612345","551111","518044","486961","457744","430279","404462","380195","357383","335940","315784","296837","207786","195318","183599","172583","162228"
"Eicher ","E-241","438825","394943","359398","330646","307501","289051","271708","255405","240081","225676","212135","199407","187443","176196","165625","115937","108981","102442","96296","90518"
"Eicher ","E-312","477346","420065","369657","332691","306076","287711","270449","254222","238968","224630","211152","198483","186574","175380","164857","115400","108476","101967","95849","90098"
"Eicher ","E-333","571040","525356","483328","444662","413535","388723","365400","343476","322867","303495","285286","268168","252078","236954","222736","155915","146561","137767","129501","121731"
"Eicher ","E-364","564582","519416","477862","439633","408859","384328","361268","339592","319216","300063","282060","265136","249228","234274","220218","154152","144903","136209","128037","120354"
"Eicher ","E-380","741214","681917","627364","577175","536773","504566","474292","445835","419085","393940","370303","348085","327200","307568","289114","202380","190237","178823","168093","158008"
"Eicher ","E-480","684144","602047","529801","476821","438676","412355","387614","364357","342495","321946","302629","284471","267403","251359","236277","165394","155470","146142","137374","129131"
"Eicher ","E-485","755650","687642","632630","588346","547162","514332","483472","454464","427196","401564","377471","354822","333533","313521","294710","206297","193919","182284","171347","161066"
"Eicher ","E-548","734729","631867","549724","494752","445276","418560","393446","369839","347649","326790","307183","288752","271427","255141","239833","167883","157810","148341","139441","131074"
"Eicher ","E-557","826257","743632","676705","622568","578989","544249","511594","480899","452045","424922","399427","375461","352933","331757","311852","218296","205199","192887","181313","170435"
"Eicher ","E-368","670235","609914","561121","521842","485313","456195","428823","403093","378908","356173","334803","314715","295832","278082","261397","182978","171999","161679","151979","142860"
